Title,title_year,budget,Gross,actor_1_name,actor_2_name,actor_3_name,actor_1_facebook_likes,actor_2_facebook_likes,actor_3_facebook_likes,IMDb_rating,genre_1,genre_2,genre_3,MetaCritic,Runtime,CVotes10,CVotes09,CVotes08,CVotes07,CVotes06,CVotes05,CVotes04,CVotes03,CVotes02,CVotes01,CVotesMale,CVotesFemale,CVotesU18,CVotesU18M,CVotesU18F,CVotes1829,CVotes1829M,CVotes1829F,CVotes3044,CVotes3044M,CVotes3044F,CVotes45A,CVotes45AM,CVotes45AF,CVotes1000,CVotesUS,CVotesnUS,VotesM,VotesF,VotesU18,VotesU18M,VotesU18F,Votes1829,Votes1829M,Votes1829F,Votes3044,Votes3044M,Votes3044F,Votes45A,Votes45AM,Votes45AF,Votes1000,VotesUS,VotesnUS,content_rating,Country
La La Land,2016,30000000,151101803,Ryan Gosling,Emma Stone,Amiée Conn,14000,19000,,8.2,Comedy,Drama,Music,93,128,74245,71191,64640,38831,17377,8044,3998,2839,2407,6802,157693,56713,2675,1784,868,113008,78998,32730,66058,50835,14165,15765,12148,3302,454,33360,117987,8.2,8.1,8.9,9,8.7,8.4,8.4,8.2,7.9,7.9,7.8,7.6,7.6,7.5,7.1,8.3,8.1,PG-13,USA
Zootopia,2016,150000000,341268248,Ginnifer Goodwin,Jason Bateman,Idris Elba,2800,28000,27000,8.1,Animation,Adventure,Comedy,78,108,53626,70912,102352,57261,16719,4539,1467,733,496,1386,176202,52345,2362,1641,706,119637,87499,30813,75474,61358,13034,12353,9959,2151,518,35975,122844,8,8.3,8.4,8.3,8.7,8.2,8.1,8.4,7.8,7.8,8.1,7.8,7.8,8.1,7.6,8,8,PG,USA
Lion,2016,12000000,51738905,Dev Patel,Nicole Kidman,Rooney Mara,33000,96000,9800,8.1,Biography,Drama,,69,118,23325,29830,40564,20296,5842,1669,558,309,182,493,68921,24977,702,477,220,42962,29729,12780,34297,26384,7413,9054,6714,2184,298,13478,53931,8,8.4,8.3,8.2,8.7,8.1,8,8.4,8,7.9,8.2,8,7.9,8.4,7.1,8.1,8,PG-13,Australia
Arrival,2016,47000000,100546139,Amy Adams,Jeremy Renner,Forest Whitaker,35000,5300,,8,Drama,Mystery,Sci-Fi,81,116,55533,87850,109536,65440,26913,10556,5057,3083,2194,4734,237437,46272,1943,1544,376,126301,101741,23163,111985,95005,15227,24027,20118,3440,537,42062,163774,7.9,8,8.6,8.6,8.4,8.2,8.2,8.1,7.8,7.8,7.8,7.6,7.6,7.7,7.3,8,7.9,PG-13,USA
Manchester by the Sea,2016,9000000,47695371,Casey Affleck,Michelle Williams ,Kyle Chandler,518,71000,3300,7.9,Drama,,,96,137,18191,33532,46596,29626,11879,4539,1976,1233,888,1834,92452,22834,855,681,166,55475,43467,11378,40645,32983,7053,11361,8862,2306,402,20287,65837,7.9,7.7,8.5,8.5,8.1,8,8.1,7.8,7.7,7.7,7.7,7.6,7.6,7.6,7.1,7.9,7.8,R,USA
Hell or High Water,2016,12000000,27007844,Chris Pine,Jeff Bridges,Ben Foster,19000,12000,9000,7.7,Crime,Drama,Thriller,88,102,8445,19789,45260,35212,11130,3102,932,475,233,471,88398,10427,564,519,43,41898,37112,4370,40564,36251,3817,10696,9091,1425,403,18746,57907,7.7,7.4,8.1,8.1,7.7,7.7,7.8,7.4,7.5,7.6,7.4,7.6,7.6,7.7,7.3,7.9,7.5,R,USA
Doctor Strange,2016,165000000,232641920,Benedict Cumberbatch,Chiwetel Ejiofor,Rachel McAdams,19000,,46000,7.6,Action,Adventure,Fantasy,72,115,38952,51465,102744,83322,32430,10744,3786,1854,1038,2667,202386,42203,2526,1970,540,117060,93330,22484,87961,74305,12327,17122,14163,2629,545,36644,133095,7.5,7.8,8,8,8.3,7.6,7.6,7.8,7.4,7.4,7.7,7.5,7.4,7.8,7.1,7.6,7.4,PG-13,USA
Tangled,2010,260000000,200807262,Brad Garrett,Donna Murphy,M.C. Gainey,799,553,284,7.8,Animation,Adventure,Comedy,71,124,56575,54688,97207,70947,26805,8530,3043,1396,805,1606,166088,97213,1950,1048,885,144744,81897,61390,89588,63534,24912,15318,11277,3805,622,47643,148024,7.6,8.2,7.8,7.4,8.3,7.9,7.7,8.2,7.6,7.5,8,7.7,7.6,7.9,6.9,7.9,7.7,PG,USA
The Dark Knight Rises,2012,250000000,448130642,Tom Hardy,Christian Bale,Joseph Gordon-Levitt,27000,23000,23000,8.4,Action,Thriller,,78,164,380589,341965,281426,134959,50406,20106,9589,5713,4073,11988,842343,143070,4726,4023,672,509635,425041,79826,348324,299862,43434,55689,46968,7741,840,160533,501687,8.5,8.4,8.6,8.5,8.6,8.7,8.7,8.6,8.3,8.3,8.2,7.9,7.9,7.9,7.8,8.4,8.4,PG-13,USA
Captain America: Civil War,2016,250000000,407197282,Robert Downey Jr.,Scarlett Johansson,Chris Evans,21000,19000,11000,7.9,Action,Adventure,Sci-Fi,75,147,81893,90156,117188,79377,32782,12322,5095,2994,1989,7786,264239,43818,3572,2865,683,148991,124124,23355,105069,91345,12135,19151,16351,2459,593,48777,153638,7.8,7.9,8.3,8.3,8.6,8,8,8,7.7,7.7,7.8,7.6,7.6,7.9,7.5,8.1,7.7,PG-13,USA
The Hobbit: The Desolation of Smaug,2013,225000000,258355354,Aidan Turner,Adam Brown,James Nesbitt,5000,972,773,7.9,Adventure,Fantasy,,66,161,97766,101709,153173,95756,39268,15248,6452,3519,2251,4955,343498,74772,2463,1881,567,215009,170290,42613,144473,121518,20892,27811,22820,4514,716,56067,234354,7.8,8.1,8.1,8,8.5,8,8,8.2,7.7,7.7,7.9,7.7,7.6,7.9,7.5,7.8,7.8,PG-13,USA
The Avengers,2012,220000000,623279547,Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson,26000,21000,19000,8.1,Action,Sci-Fi,,69,143,260257,234203,264290,162604,67579,27957,12176,7201,4996,15528,691783,151617,4953,3767,1150,432999,343012,85465,295318,247617,43303,54282,44183,9138,842,145826,423958,8,8.2,8.2,8.2,8.5,8.1,8.1,8.3,8,8,8.1,7.9,7.9,8.1,7.4,8.3,7.9,PG-13,USA
Toy Story 3,2010,200000000,414984497,Tom Hanks,John Ratzenberger,Don Rickles,15000,1000,721,8.3,Animation,Adventure,Comedy,92,103,139773,149992,158704,88289,31291,11850,4859,2932,2119,6586,389014,98386,3202,2405,776,260519,199962,58366,169886,140253,27658,32457,26171,5806,769,105490,267692,8.3,8.3,8.2,8.3,8,8.4,8.5,8.4,8.2,8.2,8.3,8.1,8.1,8.1,8.1,8.5,8.3,G,USA
Skyfall,2012,200000000,304360277,Albert Finney,Helen McCrory,Rory Kinnear,883,563,393,7.8,Action,Adventure,Thriller,81,143,69286,105160,178610,119630,45168,16321,6682,3706,2378,5440,391158,65929,1726,1443,264,211059,175769,33140,178148,153888,21704,40529,34070,5793,802,73825,262166,7.7,7.7,8.2,8.2,7.9,7.9,7.9,7.8,7.6,7.6,7.6,7.7,7.7,7.9,7.4,8,7.6,PG-13,UK
X-Men: Days of Future Past,2014,200000000,233914986,Jennifer Lawrence,Peter Dinklage,Hugh Jackman,34000,22000,20000,8,Action,Adventure,Sci-Fi,74,132,91765,127521,183578,104658,33027,10059,3710,1903,1225,3301,370835,71008,3038,2403,614,220178,179039,39094,158607,135392,20927,26834,22460,3884,710,67889,229049,8,8.1,8.4,8.4,8.6,8.1,8.1,8.2,7.8,7.8,8,7.7,7.7,7.9,7.4,8.1,7.9,PG-13,USA
Star Trek Into Darkness,2013,190000000,228756232,Benedict Cumberbatch,Bruce Greenwood,Noel Clarke,19000,981,928,7.8,Action,Adventure,Sci-Fi,72,132,59347,81516,136088,87940,32150,11522,4862,2627,1739,3694,293195,54871,1167,919,235,139465,112847,25177,148254,127249,18897,35964,29756,5593,747,71968,181224,7.7,8,7.8,7.8,8.2,7.9,7.8,8.1,7.6,7.6,7.9,7.7,7.7,8.1,7.1,7.9,7.6,PG-13,USA
The Hobbit: An Unexpected Journey,2012,180000000,303001229,Aidan Turner,Adam Brown,James Nesbitt,5000,972,773,7.9,Adventure,Fantasy,,,169,135848,132202,191128,122538,51765,19699,8227,4588,2845,6846,445566,104340,2577,1966,593,278388,217052,58630,195765,162768,30209,37575,30484,6457,785,78375,308010,7.8,8.1,8,7.9,8.3,8,8,8.2,7.7,7.7,7.9,7.7,7.6,8,7.5,7.8,7.8,PG-13,USA
Edge of Tomorrow,2014,178000000,100189501,Tom Cruise,Lara Pulver,Noah Taylor,10000,854,509,7.9,Action,Adventure,Sci-Fi,71,113,60383,99596,175961,100724,28982,8145,2858,1368,857,1661,341199,45790,1893,1584,292,172016,148814,21495,157476,138752,16463,30965,26562,3820,691,55486,217557,7.9,7.8,8.2,8.1,8.2,8,8,7.8,7.8,7.8,7.7,7.8,7.8,7.8,7.5,8,7.8,PG-13,USA
Inside Out,2015,175000000,356454367,Amy Poehler,Mindy Kaling,Phyllis Smith,1000,767,384,8.2,Animation,Adventure,Comedy,94,95,87509,113244,119801,67153,24210,8542,3349,1872,1123,3450,244433,79081,3361,2294,1040,170056,121574,46685,108560,86312,20516,18694,14910,3416,587,48297,176446,8.2,8.2,8.4,8.4,8.3,8.3,8.3,8.3,8.1,8.1,8.1,7.9,7.9,7.9,7.6,8.2,8.1,PG,USA
Guardians of the Galaxy,2014,170000000,333130696,Bradley Cooper,Vin Diesel,Djimon Hounsou,14000,14000,3000,8.1,Action,Adventure,Sci-Fi,76,121,156606,185326,216876,127878,49009,18501,8326,4772,3243,7714,491689,101957,5154,3949,1170,288707,231018,54884,207895,176032,28924,42006,34512,6802,774,97905,296439,8,8.1,8.4,8.4,8.5,8.1,8.1,8.1,7.9,7.9,8,7.9,7.9,8,7.6,8.3,7.9,PG-13,USA
Captain America: The Winter Soldier,2014,170000000,259746958,Scarlett Johansson,Chris Evans,Hayley Atwell,19000,11000,2000,7.8,Action,Adventure,Sci-Fi,70,136,84943,103896,169440,120197,44124,14639,5571,2735,1932,5248,360615,66751,3765,2900,844,208526,170111,36456,150264,129500,18637,28922,24313,4103,720,72120,213180,7.7,7.9,8.3,8.2,8.5,7.8,7.8,7.9,7.6,7.6,7.7,7.7,7.6,7.8,7.5,8.1,7.5,PG-13,USA
Dawn of the Planet of the Apes,2014,170000000,208543795,Gary Oldman,Judy Greer,Kodi Smit-McPhee,10000,2000,884,7.6,Action,Adventure,Drama,79,130,37605,58021,112652,84789,33747,11561,4734,2392,1470,2707,250421,32032,1720,1468,236,128574,111856,15469,110394,98110,10765,21701,18794,2510,649,42877,154981,7.6,7.5,8,8,7.9,7.7,7.8,7.5,7.5,7.5,7.4,7.4,7.4,7.4,7.4,7.8,7.5,PG-13,USA
Hugo,2011,170000000,73820094,ChloÃ« Grace Moretz,Christopher Lee,Ray Winstone,17000,16000,1000,7.5,Adventure,Drama,Family,83,126,29228,40728,77893,62936,27932,11179,4664,2674,1700,3023,179655,47795,884,616,250,105814,79064,25620,93126,76098,15694,22136,17667,4065,669,39127,142850,7.5,7.6,7.8,7.8,7.6,7.7,7.7,7.7,7.4,7.4,7.4,7.5,7.5,7.6,7.4,7.7,7.5,PG,USA
Big Hero 6,2014,165000000,222487711,Damon Wayans Jr.,Daniel Henney,Abraham Benrubi,756,719,562,7.8,Animation,Action,Adventure,74,124,50311,61304,103726,65681,22389,6830,2251,1036,539,1439,187383,58731,2446,1571,855,128237,91744,35122,84098,68040,14796,13974,11304,2400,525,36702,131818,7.7,8.2,8.2,8,8.7,7.9,7.8,8.3,7.7,7.6,8,7.6,7.6,7.9,7.2,7.9,7.7,PG,USA
How to Train Your Dragon,2010,165000000,217387997,Gerard Butler,America Ferrera,Craig Ferguson,18000,953,759,8.1,Animation,Action,Adventure,74,124,103844,127521,167836,89478,26766,8277,2953,1535,1007,3091,327837,105104,2783,1940,824,232014,167259,62711,151469,120140,29483,26139,20418,5320,744,73637,244365,8.1,8.4,8,7.9,8.3,8.3,8.2,8.5,8,8,8.4,7.9,7.9,8.2,7.4,8.1,8.1,PG,USA
Wreck-It Ralph,2012,165000000,189412677,Jack McBrayer,Sarah Silverman,Joe Lo Truglio,975,931,833,7.7,Animation,Adventure,Comedy,72,124,41980,50262,96477,67934,24894,7748,2724,1190,703,1226,190983,50202,1663,1182,467,120962,90759,29003,90203,74767,14148,13706,11356,2112,614,44962,129487,7.7,7.8,7.9,7.9,8,7.9,7.9,7.9,7.6,7.6,7.7,7.4,7.4,7.5,7.2,7.9,7.6,PG,USA
Interstellar,2014,165000000,187991439,Matthew McConaughey,Anne Hathaway,Mackenzie Foy,11000,11000,6000,8.6,Adventure,Drama,Sci-Fi,74,169,394006,291172,199884,103323,40514,17423,8657,5592,4113,10530,682280,128771,5735,4596,1104,414718,338261,72554,273267,232939,36187,52157,43831,7337,730,99615,415283,8.6,8.4,8.9,8.9,8.8,8.8,8.9,8.6,8.4,8.4,8.2,7.9,7.9,7.7,7.9,8.4,8.5,PG-13,USA
Inception,2010,160000000,292568851,Leonardo DiCaprio,Tom Hardy,Joseph Gordon-Levitt,29000,27000,23000,8.8,Action,Adventure,Sci-Fi,74,148,584839,485218,304457,130972,46393,20595,10050,6631,5243,15365,1044318,239796,5678,4462,1184,655187,512411,136770,472680,392845,73555,79634,65508,12795,885,212524,707266,8.8,8.7,9.1,9.1,9,9,9,8.8,8.7,8.7,8.5,8.1,8.1,8,8.2,8.7,8.8,PG-13,USA
X-Men: First Class,2011,160000000,146405371,Jennifer Lawrence,Michael Fassbender,Oliver Platt,34000,13000,1000,7.8,Action,Adventure,Sci-Fi,65,132,64428,96219,200144,129352,41945,12861,4799,2349,1448,3182,382107,80444,2075,1612,443,223309,176821,44428,185909,157332,26094,30217,25051,4691,780,87542,257681,7.7,7.9,8,7.9,8.3,7.9,7.9,8,7.7,7.6,7.8,7.6,7.5,7.7,7.3,7.8,7.7,PG-13,USA
Mad Max: Fury Road,2015,150000000,153629485,Tom Hardy,Charlize Theron,ZoÃ« Kravitz,27000,9000,943,8.1,Action,Adventure,Sci-Fi,90,120,136194,158403,163494,97218,42636,19505,9932,6743,4930,10516,424435,69670,3159,2682,456,238202,198026,37751,183637,159520,21373,34848,29980,4209,726,73080,267084,8.1,7.9,8.5,8.6,8.4,8.3,8.3,8.1,8,8,7.8,7.5,7.5,7.2,8,8.2,8,R,Australia
How to Train Your Dragon 2,2014,145000000,176997107,Gerard Butler,Djimon Hounsou,America Ferrera,18000,3000,953,7.9,Animation,Action,Adventure,76,124,42636,45890,74727,49766,17632,5547,1936,897,586,1373,147074,45334,1714,1158,544,106062,77742,27287,61623,49351,11407,10008,7813,2009,487,27102,103921,7.8,8.1,8.1,7.9,8.4,8,7.9,8.2,7.6,7.5,7.9,7.6,7.5,7.9,7.2,7.8,7.7,PG,USA
The Revenant,2015,135000000,183635922,Leonardo DiCaprio,Tom Hardy,Lukas Haas,29000,27000,733,8,Adventure,Drama,Thriller,76,156,79977,121229,158019,91154,33492,12837,5571,3386,2320,4570,323938,61051,2619,2141,458,186003,152198,31926,138923,118140,18699,28582,23782,4269,624,51493,213741,8,7.9,8.5,8.5,8.2,8.1,8.2,7.9,7.9,7.9,7.7,7.8,7.8,7.8,7.6,8.1,7.9,R,USA
The Hunger Games: Catching Fire,2013,130000000,424645577,Jennifer Lawrence,Josh Hutcherson,Sandra Ellis Lafferty,34000,14000,523,7.6,Action,Adventure,Mystery,76,146,85219,83874,150153,121748,50575,18571,7591,4094,2675,6978,307237,115421,3650,1956,1664,218884,148652,67934,140683,109976,28735,27789,21545,5771,693,68521,221430,7.4,8.1,8,7.7,8.5,7.8,7.6,8.2,7.3,7.2,7.9,7.3,7.2,7.9,6.7,7.7,7.4,PG-13,USA
The Martian,2015,108000000,228430993,Matt Damon,Donald Glover,Benedict Wong,13000,801,372,8,Adventure,Drama,Sci-Fi,80,144,75560,139593,200315,102723,31179,9930,3815,2046,1316,2907,359265,71421,3206,2543,638,200653,161765,36790,161073,136425,22228,35406,29354,5409,671,61128,239125,8,8.1,8.4,8.4,8.5,8.1,8.1,8.1,7.9,7.9,7.9,8,7.9,8.2,7.8,8.1,7.9,PG-13,USA
Gravity,2013,100000000,274084951,Phaldut Sharma,Basher Savage,Amy Warren,39,23,13,7.8,Drama,Sci-Fi,Thriller,96,91,89986,127616,169693,122275,57564,25393,12286,7868,5751,12473,427135,87618,2173,1684,468,233044,186837,43833,203844,171281,29467,44088,36531,6764,771,76797,292714,7.8,7.5,7.5,7.6,7.4,7.8,7.9,7.5,7.8,7.8,7.5,7.7,7.7,7.5,7.5,7.9,7.8,PG-13,UK
Django Unchained,2012,100000000,162804648,Leonardo DiCaprio,Christoph Waltz,Ato Essandoh,29000,11000,265,8.4,Drama,Western,,81,165,234824,339329,286911,121445,38251,14227,6469,4149,3181,8065,695211,139226,3250,2726,501,410538,332690,74006,301231,253253,43774,57463,47535,8962,816,123423,448126,8.4,8.4,8.8,8.9,8.5,8.6,8.6,8.5,8.3,8.3,8.3,8,8,8.1,7.8,8.4,8.4,R,USA
The Wolf of Wall Street,2013,100000000,116866727,Leonardo DiCaprio,Matthew McConaughey,Jon Favreau,29000,11000,4000,8.2,Biography,Comedy,Crime,75,180,171660,236650,250667,129164,46715,18682,8674,5854,4258,9689,559564,123698,3622,2842,757,360841,286627,70874,227096,189110,34712,39996,32676,6629,730,89006,366829,8.2,7.8,8.6,8.7,8,8.4,8.5,7.9,8,8.1,7.7,7.6,7.6,7.5,7.8,8.1,8.1,R,USA
Rise of the Planet of the Apes,2011,93000000,176740650,James Franco,David Oyelowo,Tyler Labine,11000,1000,779,7.6,Action,Drama,Sci-Fi,68,124,38666,61881,150351,116877,40634,13541,5252,2524,1566,2773,320581,47940,1447,1234,202,165596,139939,24111,156688,137427,17241,29985,25601,3873,746,68084,213736,7.6,7.5,7.8,7.8,7.9,7.6,7.6,7.6,7.5,7.5,7.5,7.4,7.4,7.5,7.1,7.6,7.5,PG-13,USA
The Girl with the Dragon Tattoo,2011,90000000,102515793,Robin Wright,Goran Visnjic,Joely Richardson,18000,1000,585,7.8,Crime,Drama,Mystery,71,158,42288,71561,124463,72617,23722,8041,3339,1846,1330,3369,240171,62813,426,314,105,139185,104871,32900,126724,103186,21796,26933,21558,4922,710,56794,177937,7.8,7.9,8.1,8.1,8.2,8,8,7.9,7.7,7.7,7.8,7.7,7.7,7.9,7.4,8,7.8,R,USA
The Little Prince,2015,81200000,1339152,Jeff Bridges,James Franco,Mackenzie Foy,12000,11000,6000,7.8,Animation,Adventure,Drama,70,108,7565,7321,11668,8558,3370,1162,456,227,158,293,22441,9552,226,128,96,15959,10150,5610,12174,9280,2682,1899,1496,355,198,3678,19009,7.6,8.1,8,7.8,8.2,7.9,7.8,8.2,7.6,7.5,7.9,7.5,7.4,7.9,6.6,7.7,7.7,PG,France
Shutter Island,2010,80000000,127968405,Leonardo DiCaprio,Joseph Sikora,Nellie Sciutto,29000,223,163,8.1,Mystery,Thriller,,63,138,150405,230844,278844,132349,45167,15615,7061,3780,2662,4703,570554,136360,2321,1811,494,364786,283316,78332,263273,217923,42222,43235,35277,7256,840,108244,419648,8.1,8.2,8.6,8.6,8.8,8.4,8.4,8.4,7.9,7.9,8,7.5,7.4,7.6,7.6,7.8,8.1,R,USA
Despicable Me,2010,69000000,251501645,Steve Carell,Miranda Cosgrove,Jack McBrayer,7000,2000,975,7.7,Animation,Adventure,Comedy,72,124,56474,66298,136943,102534,35207,11448,4000,1862,1024,1825,251408,91545,2241,1523,700,179397,122880,54800,123041,95843,25612,21471,16853,4293,721,57957,196751,7.6,8,7.7,7.6,7.9,7.8,7.7,8.1,7.6,7.5,7.9,7.6,7.5,7.9,7,7.6,7.6,PG,USA
Fury,2014,68000000,85707116,Brad Pitt,Logan Lerman,Jim Parrack,11000,8000,697,7.6,Action,Drama,War,64,134,36753,54703,111271,82505,30231,10553,4303,2388,1629,3246,238800,30746,1234,1028,196,127986,110868,15886,99386,88611,9444,21524,18781,2392,548,35750,148301,7.6,7.6,8,8,8.3,7.7,7.7,7.7,7.4,7.4,7.4,7.4,7.4,7.4,6.8,7.6,7.5,R,USA
Gone Girl,2014,61000000,167735396,Patrick Fugit,Sela Ward,Emily Ratajkowski,835,812,625,8.1,Crime,Drama,Mystery,79,149,89539,177373,218018,103600,32989,11691,5285,3262,2247,5500,397571,113606,2286,1598,665,260425,193602,64291,179552,144771,32133,34696,27226,6840,689,70667,280587,8.1,8.1,8.5,8.6,8.4,8.3,8.3,8.2,7.9,8,7.9,7.7,7.7,7.7,7.6,8.1,8.1,R,USA
Les MisÃ©rables,2012,61000000,148775460,Hugh Jackman,Eddie Redmayne,Anne Hathaway,20000,13000,11000,7.6,Drama,Musical,Romance,63,158,54268,47750,63323,45160,22393,10744,5551,3484,2490,5020,141014,73591,972,502,456,112609,68687,42720,69385,49760,18632,18404,12811,5282,623,42302,112787,7.5,7.9,7.9,7.6,8.4,7.8,7.7,8,7.3,7.2,7.6,7.4,7.3,7.7,6.6,7.6,7.5,PG-13,USA
The Lego Movie,2014,60000000,257756197,Morgan Freeman,Will Ferrell,Alison Brie,11000,8000,2000,7.8,Animation,Action,Adventure,83,100,41269,50795,83773,55181,21793,8596,3680,2053,1466,2918,180122,37351,1887,1464,414,111043,89180,20677,77271,65191,11020,13346,11079,2032,579,42963,114308,7.8,7.7,8.2,8.2,7.9,7.9,8,7.7,7.6,7.6,7.5,7.4,7.4,7.4,7.2,8,7.6,PG,Australia
Scott Pilgrim vs. the World,2010,60000000,31494270,Anna Kendrick,Kieran Culkin,Ellen Wong,10000,1000,719,7.5,Action,Comedy,Romance,69,112,47292,48976,79198,59689,28452,13451,6977,4254,3069,6287,208417,45718,1022,791,221,129202,99363,28557,102986,88456,13334,14195,12157,1778,677,56559,150511,7.5,7.4,8.1,8.2,8,7.6,7.7,7.5,7.4,7.4,7.2,7.1,7.1,7,6.6,7.8,7.4,PG-13,USA
