Title,title_year,budget,Gross,actor_1_name,actor_2_name,actor_3_name,actor_1_facebook_likes,actor_2_facebook_likes,actor_3_facebook_likes,IMDb_rating,genre_1,genre_2,genre_3,MetaCritic,Runtime,CVotes10,CVotes09,CVotes08,CVotes07,CVotes06,CVotes05,CVotes04,CVotes03,CVotes02,CVotes01,CVotesMale,CVotesFemale,CVotesU18,CVotesU18M,CVotesU18F,CVotes1829,CVotes1829M,CVotes1829F,CVotes3044,CVotes3044M,CVotes3044F,CVotes45A,CVotes45AM,CVotes45AF,CVotes1000,CVotesUS,CVotesnUS,VotesM,VotesF,VotesU18,VotesU18M,VotesU18F,Votes1829,Votes1829M,Votes1829F,Votes3044,Votes3044M,Votes3044F,Votes45A,Votes45AM,Votes45AF,Votes1000,VotesUS,VotesnUS,content_rating,Country
Deadpool,2016,58000000,363024263,Ryan Reynolds,Ed Skrein,Stefan Kapicic,16000,805,361,8,Action,Adventure,Comedy,65,108,147467,147966,170810,105717,41811,15510,7046,4273,3037,8538,391955,79804,4598,3601,969,232840,186139,44316,159222,135428,21521,28753,24218,4009,667,67933,241138,8,8.1,8.4,8.4,8.6,8.1,8.1,8.1,7.9,7.9,7.9,7.8,7.8,7.9,7.3,8.1,7.9,R,USA
Captain Phillips,2013,55000000,107100855,Tom Hanks,Chris Mulkey,Michael Chernus,15000,535,186,7.8,Biography,Drama,Thriller,83,134,37461,70216,133266,76657,21791,6099,2051,1062,707,1517,247889,41602,995,838,147,131052,110723,19092,114418,98191,14686,24670,20178,4053,633,43042,165981,7.8,7.9,8.2,8.2,8.1,8,8,7.9,7.7,7.7,7.8,7.7,7.7,8,7.4,7.8,7.8,PG-13,USA
Moneyball,2011,50000000,75605492,Philip Seymour Hoffman,Robin Wright,Brad Pitt,22000,18000,11000,7.6,Biography,Drama,Sport,87,133,20734,43329,108133,85628,27802,8094,2802,1304,778,1604,222663,34888,389,350,37,113508,97523,14950,112429,96552,14345,21998,17897,3726,645,55437,146951,7.6,7.3,8,8.1,7.6,7.7,7.8,7.3,7.5,7.5,7.2,7.5,7.5,7.5,7.1,7.8,7.5,PG-13,USA
Prisoners,2013,46000000,60962878,Hugh Jackman,Jake Gyllenhaal,Dylan Minnette,20000,15000,1000,8.1,Crime,Drama,Mystery,74,153,57400,110853,161533,77122,20845,6515,2540,1376,897,1978,297561,59221,1332,1075,248,177661,144671,31288,132740,111870,19074,23642,19293,3934,650,48353,208355,8.1,8,8.6,8.6,8.7,8.2,8.2,8.1,7.9,7.9,7.9,7.7,7.7,7.8,7.6,8.1,8,R,USA
Argo,2012,44500000,136019448,Clea DuVall,Scoot McNairy,Tate Donovan,1000,660,650,7.7,Action,Biography,Drama,86,120,43875,89490,171495,115165,37332,12630,4992,2910,2020,6941,334838,67910,971,795,162,178794,146371,30643,163795,136391,24948,36215,28817,6752,740,70110,229137,7.7,7.9,8,8,7.8,7.8,7.8,7.9,7.7,7.6,7.8,7.7,7.7,8,7.2,8,7.6,R,USA
Lone Survivor,2013,40000000,125069696,Jerry Ferrara,Scott Elrod,Dan Bilzerian,480,449,127,7.5,Action,Biography,Drama,,121,30856,33356,68808,54195,20772,7205,2727,1409,887,2133,163657,17260,602,529,66,79483,71556,7205,71559,64441,6225,16429,14140,2027,518,32733,95220,7.5,7.7,7.9,7.9,8.3,7.7,7.7,7.8,7.3,7.3,7.6,7.5,7.4,7.8,6.8,7.8,7.3,R,USA
The Social Network,2010,40000000,96917897,Andrew Garfield,Dustin Fitzsimons,Marcella Lentz-Pope,10000,349,81,7.7,Biography,Drama,,95,120,60189,89515,161983,122694,46869,16288,6351,3284,2914,6346,351608,84711,1461,1142,309,225279,173908,49149,168440,139525,26636,28054,22588,4995,780,80615,265272,7.8,7.4,8.3,8.4,8,7.9,8,7.5,7.6,7.7,7.3,7.5,7.5,7.4,7.3,8,7.6,PG-13,USA
Bridge of Spies,2015,40000000,72306065,Tom Hanks,Mark Rylance,Amy Ryan,15000,535,423,7.6,Drama,History,Thriller,81,142,15757,32840,83322,63800,19183,5178,1657,735,419,878,152707,23978,846,732,104,76784,64810,11177,70780,61525,8196,18494,15504,2667,545,24273,105678,7.6,7.6,7.9,7.9,7.8,7.7,7.7,7.6,7.5,7.5,7.5,7.7,7.6,7.9,7.4,7.7,7.5,PG-13,USA
True Grit,2010,38000000,171031347,Matt Damon,Jeff Bridges,Bruce Green,13000,12000,538,7.6,Adventure,Drama,Western,80,110,21094,40901,91825,67175,23055,7191,2678,1305,779,1672,197105,27125,381,340,35,89394,76864,11720,104201,91807,11163,25641,21885,3369,747,53749,137672,7.7,7.6,7.8,7.8,7.5,7.7,7.7,7.6,7.6,7.6,7.5,7.7,7.7,7.7,7.3,7.9,7.6,PG-13,USA
Rush,2013,38000000,26903709,Chris Hemsworth,Olivia Wilde,Alexandra Maria Lara,26000,10000,471,8.1,Action,Biography,Drama,75,123,53667,90907,119603,57343,14948,4436,1625,803,633,1532,246354,35289,888,769,115,138327,119048,17987,105712,92487,11717,20105,17096,2660,593,30738,168519,8.1,8,8.3,8.3,8,8.3,8.3,8.2,8,8,7.9,7.8,7.8,7.8,7.1,7.9,8.1,R,UK
The Town,2010,37000000,92173235,Jeremy Renner,Jon Hamm,Owen Burke,10000,4000,206,7.6,Crime,Drama,Thriller,74,125,24170,42261,103949,83600,28025,8688,2970,1410,824,1533,226697,31345,313,271,38,113373,98021,14345,116868,102678,12897,20721,17520,2868,687,56681,156963,7.6,7.4,7.8,7.8,7.2,7.7,7.7,7.4,7.5,7.5,7.3,7.4,7.4,7.5,7,7.8,7.5,R,USA
Creed,2015,35000000,109712885,Sylvester Stallone,Phylicia Rashad,Graham McTavish,13000,597,531,7.6,Drama,Sport,,82,133,21364,28964,58237,45563,16432,5118,1655,848,464,1151,126214,13323,888,811,72,61826,55428,5778,56944,51344,4828,10691,9142,1369,474,25287,75302,7.6,7.5,8.3,8.3,8.1,7.8,7.8,7.6,7.4,7.4,7.4,7.3,7.3,7.5,7.1,7.9,7.5,PG-13,USA
Kick-Ass,2010,30000000,48043505,Elizabeth McGovern,Deborah Twiss,Michael Rispoli,553,488,385,7.7,Action,Comedy,,66,117,59740,77776,143023,103305,41417,16195,7398,4074,2842,6102,336585,57638,1314,1001,305,191541,155998,33796,164120,143952,18328,25423,22259,2756,794,75909,244929,7.7,7.5,7.9,7.9,7.9,7.7,7.7,7.5,7.7,7.7,7.5,7.6,7.7,7.4,7.1,7.8,7.7,R,UK
Sicario,2015,30000000,46875468,Edgar Arreola,Bernardo Saracino,Daniel Kaluuya,455,221,219,7.6,Action,Crime,Drama,82,121,19576,40247,85359,64633,24920,8548,3261,1669,970,1689,178321,21448,730,650,73,86373,75660,9762,84517,75208,8116,17615,15277,2011,526,30824,118922,7.6,7.3,7.8,7.8,7.2,7.7,7.7,7.3,7.5,7.6,7.2,7.6,7.6,7.4,7.2,7.8,7.6,R,USA
Straight Outta Compton,2015,28000000,161029270,Aldis Hodge,Neil Brown Jr.,R. Marcos Taylor,559,427,303,7.9,Biography,Drama,History,72,147,24527,29039,48956,26956,7959,2418,921,531,427,2286,96591,14262,760,658,95,55050,47556,6918,40331,35072,4713,7220,5880,1214,393,23736,56104,7.9,8,8.3,8.3,8.6,8,8,8,7.7,7.7,7.8,7.4,7.3,7.7,6.8,7.9,7.7,R,USA
The Big Short,2015,28000000,70235322,Ryan Gosling,Christian Bale,Charlie Talbert,33000,23000,767,7.8,Biography,Comedy,Drama,81,130,22879,48091,94303,58756,18650,6141,2253,1133,713,1415,167875,31804,982,825,147,93777,76925,15725,77242,65202,10813,16496,13532,2658,501,32587,115947,7.8,7.6,7.8,7.8,7.6,7.8,7.9,7.6,7.7,7.7,7.6,7.7,7.7,7.8,7.3,7.9,7.7,R,USA
The Help,2011,25000000,169705587,Emma Stone,Bryce Dallas Howard,Mike Vogel,15000,3000,2000,8.1,Drama,,,62,146,60811,82560,115917,57034,17268,6011,2456,1326,974,2948,173908,115762,990,507,474,136852,72944,62426,110695,72802,36317,28383,18891,9023,645,59445,157474,7.9,8.4,8.3,8.1,8.6,8.2,8,8.5,7.9,7.8,8.3,8,7.9,8.3,7,8,8,PG-13,USA
The Fighter,2010,25000000,93571803,Christian Bale,Jack McGee,Melissa McMeekin,23000,238,141,7.8,Action,Biography,Drama,79,116,27835,55315,117623,64849,17902,4969,1704,922,547,1163,220445,31021,447,388,57,119646,103848,14740,106479,93016,12203,17229,14289,2681,684,49851,153538,7.9,7.7,8.1,8.1,8.2,8,8,7.8,7.8,7.8,7.7,7.7,7.7,7.7,7.3,8,7.8,R,USA
The Grand Budapest Hotel,2014,25000000,59073773,Bill Murray,Tom Wilkinson,F. Murray Abraham,13000,1000,670,8.1,Adventure,Comedy,Drama,88,99,84258,142011,168705,88086,31632,12023,5455,3196,2204,3971,332149,96997,2083,1537,530,216106,158823,54913,153604,123255,27996,33156,26147,6375,679,58814,248067,8.1,8.2,8.6,8.6,8.5,8.2,8.2,8.3,7.9,7.9,8,7.8,7.8,7.9,7.7,8.1,8,R,USA
Warrior,2011,25000000,13651662,Tom Hardy,Frank Grillo,Kevin Dunn,27000,798,581,8.2,Action,Drama,Sport,71,140,74983,96953,106673,52972,16668,5727,2353,1205,1050,2479,270734,31075,673,583,84,153824,136536,16000,117636,105144,11019,15201,12960,1990,586,45342,176397,8.2,8.2,8.5,8.5,8.7,8.4,8.4,8.4,8,8,8,7.7,7.7,7.5,7.1,8.2,8.1,PG-13,USA
Her,2013,23000000,25556065,Scarlett Johansson,Brian Johnson,Matt Letscher,19000,128,105,8,Drama,Romance,Sci-Fi,90,126,61098,95920,117761,67804,27718,11647,5673,3517,2464,4841,252724,72611,1193,851,330,167097,123183,42078,119227,95815,21544,21741,17515,3770,612,48466,188937,8,7.8,8.5,8.6,8,8.2,8.2,7.9,7.8,7.8,7.6,7.4,7.4,7,7.3,8.1,7.9,R,USA
Silver Linings Playbook,2012,21000000,132088910,Jennifer Lawrence,Robert De Niro,Bradley Cooper,34000,22000,14000,7.8,Comedy,Drama,Romance,81,122,73783,107247,184382,123467,46614,17257,6997,3682,2457,4470,338051,131000,1548,875,660,236404,160001,73922,170543,129880,38160,32839,24722,7550,733,79953,259084,7.8,7.7,8.1,8.1,8.1,7.9,7.9,7.7,7.6,7.7,7.6,7.6,7.6,7.7,6.9,8,7.6,R,USA
12 Years a Slave,2013,20000000,56667870,QuvenzhanÃ© Wallis,Scoot McNairy,Taran Killam,2000,660,500,8.1,Biography,Drama,History,96,134,75556,126223,161460,83070,27231,9603,4021,2420,1785,4739,313823,82012,1837,1363,457,200910,153669,45301,138762,112943,23895,29252,23072,5726,664,53328,224519,8.1,8.1,8.4,8.4,8.5,8.2,8.2,8.2,8,7.9,8,7.8,7.8,8.1,7.7,8.3,8,R,USA
Spotlight,2015,20000000,44988180,Billy Crudup,Jamey Sheridan,Brian d'Arcy James,745,168,77,8.1,Crime,Drama,History,93,128,35421,72285,100793,49236,13488,4034,1365,698,517,1388,173290,43313,1197,961,223,104770,81050,22603,79398,64865,13310,17981,14134,3485,568,33235,125291,8.1,8.1,8.3,8.3,8.4,8.2,8.2,8.2,8,8,8,8.1,8,8.4,7.5,8.3,8,R,USA
The Book Thief,2013,19000000,21483154,Emily Watson,Sophie NÃ©lisse,Roger Allam,876,526,326,7.6,Drama,War,,,131,15911,17607,32570,24461,10274,3848,1387,726,342,755,59365,29422,481,206,270,41094,24058,16590,32014,23730,7792,10218,7635,2406,378,10845,52519,7.4,7.9,8,7.6,8.5,7.7,7.6,8,7.3,7.2,7.7,7.6,7.5,8,6.6,7.6,7.5,PG-13,USA
Birdman or (The Unexpected Virtue of Ignorance),2014,18000000,42335698,Emma Stone,Naomi Watts,Merritt Wever,15000,6000,529,7.8,Comedy,Drama,,88,119,60209,94476,121637,80828,38373,19161,10116,6750,5378,11807,292808,63310,1891,1538,334,178850,142244,34666,129547,108049,19457,26016,21166,4329,656,52288,203731,7.8,7.5,8.5,8.6,7.9,8,8.1,7.7,7.6,7.6,7.3,7.2,7.3,7,7.1,7.9,7.7,R,USA
127 Hours,2010,18000000,18329466,James Franco,Treat Williams,Kate Burton,11000,642,223,7.6,Adventure,Biography,Drama,82,94,28939,44110,98845,78451,28394,9403,3796,1930,1161,2059,212866,44600,745,567,170,133336,106007,26152,102120,86609,14304,14895,12400,2261,649,38478,169745,7.6,7.6,7.9,7.9,7.9,7.7,7.8,7.7,7.5,7.5,7.5,7.3,7.3,7.5,7,7.7,7.6,R,USA
Midnight in Paris,2011,17000000,56816662,Kurt Fuller,Audrey Fleurot,Nina Arianda,617,204,183,7.7,Comedy,Fantasy,Romance,81,124,37002,56920,103006,72777,29887,12268,5169,2764,1789,2901,195745,81470,542,333,204,133114,85896,45730,111940,83675,26488,23907,18272,5211,642,46033,172245,7.7,7.6,8,8.1,7.7,7.8,7.9,7.7,7.5,7.5,7.5,7.6,7.6,7.8,7.1,7.8,7.6,PG-13,Spain
Moonrise Kingdom,2012,16000000,45507053,Bruce Willis,Bill Murray,Bob Balaban,13000,13000,559,7.8,Adventure,Comedy,Drama,84,94,34789,53660,82864,50730,19378,7682,3443,1949,1340,2407,164811,53362,699,503,189,101334,71073,29082,89676,70995,17363,19062,14894,3822,637,48041,125272,7.8,7.9,8.3,8.3,8.2,8,8,8,7.6,7.6,7.7,7.5,7.5,7.6,7.2,8,7.7,PG-13,USA
The King's Speech,2010,15000000,138795342,Colin Firth,Jennifer Ehle,Derek Jacobi,14000,1000,520,8,Biography,Drama,,88,118,69976,129146,187772,100984,31083,10120,3991,2090,1385,3702,339153,108830,1150,827,311,212048,152316,57515,175900,137753,35664,41655,31784,9171,758,72154,272059,8,8.3,8.2,8.2,8.2,8.1,8.1,8.3,7.9,7.9,8.2,8.1,8,8.5,7.7,8.2,8,R,UK
The Artist,2011,15000000,44667095,BÃ©rÃ©nice Bejo,Ed Lauter,Beth Grant,996,897,628,7.9,Comedy,Drama,Romance,89,100,31192,45532,61088,35456,13521,5549,2569,1561,1248,3627,133682,40741,363,269,92,78061,56575,20653,72326,56949,14301,19149,15042,3773,630,32063,109571,7.9,8.1,8,8,8.3,8.1,8.1,8.2,7.8,7.8,8,7.8,7.8,8.1,7.1,8,7.9,PG-13,France
The Theory of Everything,2014,15000000,35887263,Eddie Redmayne,Emily Watson,Simon McBurney,13000,876,149,7.7,Biography,Drama,Romance,72,123,36339,53814,104625,75080,23057,7013,2307,1075,575,1277,174408,67669,1668,945,698,128871,86550,40915,79860,61623,17002,17231,13186,3737,547,27641,140414,7.6,8,8.1,7.9,8.5,7.8,7.8,8.1,7.5,7.5,7.7,7.6,7.6,7.8,6.9,7.5,7.6,PG-13,UK
Drive,2011,15000000,35054909,Ryan Gosling,Albert Brooks,Russ Tamblyn,33000,745,228,7.8,Crime,Drama,,78,100,74421,96998,130187,82653,38557,17321,9132,5694,4114,8576,336319,64201,862,711,143,183472,149002,32549,176080,148869,24691,27894,23441,3905,737,70338,247150,7.9,7.6,8.5,8.5,7.9,7.9,8,7.6,7.7,7.8,7.5,7.4,7.4,7.4,7.6,8,7.8,R,USA
Ex Machina,2014,15000000,25440971,Elina Alminas,Sonoya Mizuno,Corey Johnson,149,145,123,7.7,Drama,Mystery,Sci-Fi,78,108,29780,64769,123938,82736,28662,9579,3806,1951,1165,2182,237599,41160,1154,899,242,126754,103143,22173,113021,97929,13354,23940,20773,2697,611,42556,164526,7.8,7.5,8,8.1,7.8,7.9,7.9,7.6,7.6,7.6,7.4,7.6,7.6,7.4,7.5,7.9,7.7,R,UK
The Imitation Game,2014,14000000,91121452,Benedict Cumberbatch,Rory Kinnear,Allen Leech,19000,393,305,8.1,Biography,Drama,Thriller,73,114,80221,137855,187223,94784,25801,7553,2625,1311,824,2307,328283,92724,2703,1895,783,218870,163084,53533,141013,113989,24842,31492,24954,5984,637,48944,238440,8,8.3,8.5,8.3,8.8,8.2,8.1,8.4,7.8,7.8,8.1,8,7.9,8.3,7.3,8,8,PG-13,UK
Flipped,2010,14000000,1752214,Madeline Carroll,Rebecca De Mornay,Aidan Quinn,1000,872,767,7.7,Comedy,Drama,Romance,,124,11354,11050,20808,14372,5412,1848,664,321,230,402,33714,22540,320,108,207,32475,16916,15217,18576,12982,5338,3399,2616,721,275,7362,36050,7.6,7.9,8,7.6,8.3,7.9,7.8,8,7.5,7.5,7.7,7.4,7.3,7.6,6.4,7.5,7.7,PG,USA
Black Swan,2010,13000000,106952327,Natalie Portman,Mila Kunis,Mark Margolis,20000,15000,1000,8,Drama,Thriller,,79,108,93798,136615,174500,97826,40319,16993,9084,6065,3981,8726,356707,143077,1112,583,516,244970,159567,82856,204465,156163,45352,35111,27022,7459,802,86552,306578,8,8,8.5,8.6,8.4,8.1,8.1,8.1,7.9,7.9,8,7.5,7.5,7.4,7.6,8,8,R,USA
The Perks of Being a Wallflower,2012,13000000,17738570,Logan Lerman,Ezra Miller,Kate Walsh,8000,3000,850,8,Drama,Romance,,67,102,78615,85725,110727,64343,24268,8739,3881,2015,1324,3037,202178,108832,1980,807,1147,187119,112011,73101,89339,65550,22467,15562,11607,3660,572,48654,173536,8,8.1,8.4,8.3,8.5,8.1,8.1,8.2,7.8,7.8,7.8,7.7,7.7,7.7,7,8.1,7.9,PG-13,USA
The Fault in Our Stars,2014,12000000,124868837,Shailene Woodley,Sam Trammell,Nat Wolff,8000,1000,733,7.8,Drama,Romance,,69,126,62666,51004,70457,49770,21628,8843,3907,2173,1560,4271,128951,83384,2833,897,1910,127407,71749,54368,55300,38826,15674,10189,7180,2836,426,26518,110065,7.7,7.9,8.1,7.5,8.5,7.8,7.8,8,7.6,7.6,7.8,7.6,7.5,7.7,6.8,7.6,7.7,PG-13,USA
Philomena,2013,12000000,37707719,Steve Coogan,Mare Winningham,Peter Hermann,1000,482,322,7.6,Biography,Drama,,77,98,6420,12446,30264,22752,6670,1743,599,293,163,506,49275,20366,151,102,44,25522,16846,8377,29308,21323,7568,11825,8544,3079,436,12916,42480,7.6,7.7,7.8,7.7,8,7.6,7.6,7.7,7.6,7.5,7.7,7.8,7.7,7.9,7.1,7.7,7.6,PG-13,UK
Nebraska,2013,12000000,17613460,Devin Ratray,Bruce Dern,Will Forte,1000,844,622,7.7,Adventure,Comedy,Drama,86,115,8377,17556,35402,22938,7672,2578,993,535,372,638,70069,13162,154,128,23,33708,28004,5354,35361,29899,4966,11142,8910,2028,458,18237,48960,7.7,7.7,8,8,7.5,7.8,7.9,7.8,7.7,7.7,7.7,7.7,7.7,7.9,7.3,7.8,7.7,R,USA
About Time,2013,12000000,15294553,Tom Hughes,Tom Hollander,Lindsay Duncan,565,555,171,7.8,Comedy,Drama,Fantasy,,123,38556,43170,70850,45487,16542,5673,2210,1084,664,1182,126718,58098,654,325,321,92940,57778,34126,67477,50212,16222,13973,10690,3026,475,20450,111670,7.8,7.9,8.2,8.1,8.3,8,8,8,7.6,7.6,7.7,7.6,7.5,7.8,6.9,7.8,7.7,R,UK
Amour,2012,8900000,225377,Isabelle Huppert,Emmanuelle Riva,Jean-Louis Trintignant,678,432,319,7.9,Drama,Romance,,94,127,11093,15944,22942,14187,5945,2585,1188,710,534,995,49808,16719,121,95,24,28593,20107,8167,28691,21990,6269,7425,5803,1490,391,7959,46138,7.8,7.9,8.6,8.7,8.5,8,8,7.9,7.7,7.7,7.9,7.9,7.8,8.1,7.2,7.9,7.8,PG-13,France
Nightcrawler,2014,8500000,32279955,Jake Gyllenhaal,Michael Papajohn,James Huang,15000,241,85,7.9,Crime,Drama,Thriller,76,118,30873,66834,130676,77067,22511,6698,2538,1243,790,1503,235721,38888,1273,1077,186,139458,116782,21181,101467,87631,12407,17889,15053,2504,584,41811,160134,7.9,7.7,8.4,8.5,8.2,8,8,7.7,7.7,7.7,7.5,7.7,7.7,7.7,7.8,8,7.8,R,USA
50/50,2011,8000000,34963967,Joseph Gordon-Levitt,Anna Kendrick,Bryce Dallas Howard,23000,10000,3000,7.7,Comedy,Drama,Romance,72,100,28304,47501,99524,71485,24252,7545,2381,1109,634,1202,188925,58348,506,348,153,132350,96269,34765,94745,75394,18163,12829,9912,2681,555,46947,147849,7.7,7.7,7.9,7.9,7.9,7.8,7.8,7.7,7.6,7.6,7.6,7.4,7.4,7.5,7,7.9,7.6,R,USA
End of Watch,2012,7000000,40983001,Jake Gyllenhaal,Anna Kendrick,America Ferrera,15000,10000,953,7.7,Crime,Drama,Thriller,68,109,20733,32267,68590,46486,15489,5370,2235,1186,805,1521,147679,17678,261,235,22,70095,62195,7250,73097,64952,7265,13479,11530,1719,537,32761,94643,7.6,7.6,7.9,7.9,7.8,7.8,7.8,7.7,7.5,7.5,7.5,7.4,7.4,7.5,6.5,7.7,7.6,R,USA
Dallas Buyers Club,2013,5000000,27296514,Matthew McConaughey,Jennifer Garner,Denis O'Hare,11000,3000,896,8,Biography,Drama,,84,117,37544,82276,145488,66156,16777,4582,1721,870,654,1588,231258,63266,864,650,205,145018,110493,32974,110555,88233,20687,22093,16963,4743,598,42222,173002,7.9,8.1,8.2,8.2,8.1,8.1,8.1,8.1,7.8,7.8,8,7.8,7.8,8,7.2,8,7.9,R,USA
Boyhood,2014,4000000,25359200,Ellar Coltrane,Lorelei Linklater,Libby Villari,230,193,127,7.9,Drama,,,100,165,49673,62055,76838,52238,23789,10431,4906,3071,2248,5086,183807,51558,1393,995,381,123006,92639,29076,81594,65261,15118,17881,13995,3567,559,36433,134679,8,7.7,8.1,8.1,8,8.1,8.1,7.8,7.8,7.8,7.6,7.7,7.7,7.7,7.2,8,7.9,R,USA
Whiplash,2014,3300000,13092000,J.K. Simmons,Melissa Benoist,Chris Mulkey,24000,970,535,8.5,Drama,Music,,88,107,110404,161864,132656,56007,16577,6031,2937,1859,1263,2723,308900,71066,2878,2200,660,205839,161853,41944,123712,102839,19018,23345,19072,3812,590,49868,213952,8.5,8.4,9,9.1,8.9,8.6,8.7,8.5,8.3,8.3,8.2,8.1,8.1,8.2,8,8.6,8.4,R,USA
Before Midnight,2013,3000000,8114507,Seamus Davey-Fitzpatrick,Ariane Labed,Athina Rachel Tsangari,140,63,48,7.9,Drama,Romance,,94,109,16953,22109,31439,19251,8142,3412,1649,1033,826,1745,67076,23823,208,138,66,43312,30016,12857,37072,28401,8189,7479,5891,1470,447,12382,59116,7.9,7.8,8.1,8.3,7.4,8.1,8.2,7.9,7.8,7.8,7.6,7.3,7.4,7.2,7,8,7.9,R,USA
Star Wars: Episode VII - The Force Awakens,2015,245000000,936662225,Doug Walker,Rob Walker,0,131,12,0,8.1,Action,Adventure,Fantasy,81,136,155391,161810,166378,99402,40734,18060,8751,5970,4489,15768,425971,68664,4722,3919,768,220467,183671,34366,187138,162918,21362,42942,36441,5729,712,85141,250769,8,8.3,8.5,8.5,8.6,8.2,8.2,8.3,8,7.9,8.2,7.9,7.8,8.2,7.7,8.2,7.9,PG-13,USA
Harry Potter and the Deathly Hallows: Part I,2010,150000000,296347721,Rupert Grint,Toby Jones,Alfred Enoch,10000,2000,1000,7.7,Adventure,Family,Fantasy,65,146,68937,54947,102488,80465,31205,11792,4808,2454,1617,4522,223868,79506,1967,1310,638,178871,126052,51112,94328,73103,20145,18077,14073,3750,734,56139,180885,7.5,8.2,8.1,7.9,8.6,7.9,7.7,8.3,7.4,7.3,8.1,7.4,7.3,8,6.7,7.9,7.5,PG-13,UK
Tucker and Dale vs Evil,2010,5000000,223838,Katrina Bowden,Tyler Labine,Chelan Simmons,948,779,440,7.6,Comedy,Horror,,65,124,16572,19818,44460,35863,13456,4588,1684,855,479,848,106144,15113,219,198,20,52889,45169,7232,56379,49634,6156,8861,7645,1072,540,26213,73918,7.5,7.7,7.7,7.7,8.2,7.6,7.6,7.6,7.5,7.5,7.7,7.5,7.4,7.7,7.1,7.7,7.5,R,Canada
